airport_name,city,country,IATA,latitude,longitude,continent_code,continent,airport
Barisal Airport,Barisal,Bangladesh,BZL,22.801000595092773,90.30120086669922,AS,Asia,Barisal (BZL)
Ban Huoeisay Airport,Huay Xai,Laos,HOE,20.2572994232,100.43699646,AS,Asia,Huay Xai (HOE)
Bharatpur Airport,Bharatpur,Nepal,BHR,27.678101,84.429398,AS,Asia,Bharatpur (BHR)
Bhadrapur Airport,Chandragarhi,Nepal,BDP,26.5708007812,88.07959747310001,AS,Asia,Chandragarhi (BDP)
Nepalgunj Airport,Nepalgunj,Nepal,KEP,28.103599548339844,81.66699981689453,AS,Asia,Nepalgunj (KEP)
Gan International Airport,Gan Island,Maldives,GAN,-0.693342,73.155602,AS,Asia,Gan Island (GAN)
Hanimaadhoo Airport,Haa Dhaalu Atoll,Maldives,HAQ,6.744229793548584,73.17050170898438,AS,Asia,Haa Dhaalu Atoll (HAQ)
Kadhdhoo Airport,Laamu Atoll,Maldives,KDO,1.8591699600219729,73.52189636230469,AS,Asia,Laamu Atoll (KDO)
Mae Sot Airport,Tak,Thailand,MAQ,16.699899673461914,98.54509735107422,AS,Asia,Tak (MAQ)
Buon Ma Thuot Airport,Buonmethuot,Vietnam,BMV,12.668299675,108.120002747,AS,Asia,Buonmethuot (BMV)
Cat Bi International Airport,Haiphong,Vietnam,HPH,20.81940078735352,106.7249984741211,AS,Asia,Haiphong (HPH)
Cam Ranh Airport,Nha Trang,Vietnam,CXR,11.99820041656494,109.21900177001952,AS,Asia,Nha Trang (CXR)
Co Ong Airport,Conson,Vietnam,VCS,8.73183,106.633003,AS,Asia,Conson (VCS)
Can Tho International Airport,Can Tho,Vietnam,VCA,10.085100174,105.711997986,AS,Asia,Can Tho (VCA)
Dien Bien Phu Airport,Dienbienphu,Vietnam,DIN,21.3974990845,103.008003235,AS,Asia,Dienbienphu (DIN)
Phu Cat Airport,Phucat,Vietnam,UIH,13.955,109.042,AS,Asia,Phucat (UIH)
Pleiku Airport,Pleiku,Vietnam,PXU,14.00450038909912,108.01699829101562,AS,Asia,Pleiku (PXU)
Vinh Airport,Vinh,Vietnam,VII,18.7376003265,105.67099762,AS,Asia,Vinh (VII)
Tambolaka Airport,Waikabubak-Sumba Island,Indonesia,TMC,-9.40972,119.244003,AS,Asia,Waikabubak-Sumba Island (TMC)
Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,BEJ,2.1555,117.431999,AS,Asia,Tanjung Redep-Borneo Island (BEJ)
Dumatumbun Airport,Langgur-Kei Islands,Indonesia,LUV,-5.661620140075684,132.7310028076172,AS,Asia,Langgur-Kei Islands (LUV)
Long Lellang Airport,Long Datih,Malaysia,LGL,3.42100000381,115.153999329,AS,Asia,Long Datih (LGL)
Long Seridan Airport,Long Seridan,Malaysia,ODN,3.9670000076293945,115.0500030517578,AS,Asia,Long Seridan (ODN)
Mukah Airport,Mukah,Malaysia,MKM,2.90639,112.080002,AS,Asia,Mukah (MKM)
Bakalalan Airport,Bakalalan,Malaysia,BKM,3.973999977111816,115.61799621582033,AS,Asia,Bakalalan (BKM)
Lawas Airport,Lawas,Malaysia,LWY,4.84917,115.407997,AS,Asia,Lawas (LWY)
Bario Airport,Bario,Malaysia,BBN,3.7338900566101074,115.47899627685548,AS,Asia,Bario (BBN)
Kudat Airport,Kudat,Malaysia,KUD,6.922500133514404,116.83599853515624,AS,Asia,Kudat (KUD)
Radin Inten II (Branti) Airport,Bandar Lampung-Sumatra Island,Indonesia,TKG,-5.240556,105.175556,AS,Asia,Bandar Lampung-Sumatra Island (TKG)
Ranai Airport,Ranai-Natuna Besar Island,Indonesia,NTX,3.90871,108.388,AS,Asia,Ranai-Natuna Besar Island (NTX)
Albany Airport,Albany,Australia,ALH,-34.94329833984375,117.80899810791016,OC,Oceania,Albany (ALH)
Aurukun Airport,Aurukun,Australia,AUU,-13.354067,141.72065,OC,Oceania,Aurukun (AUU)
Barcaldine Airport,Barcaldine,Australia,BCI,-23.5652999878,145.307006836,OC,Oceania,Barcaldine (BCI)
Birdsville Airport,Birdsville,Australia,BVI,-25.897499084472656,139.34800720214844,OC,Oceania,Birdsville (BVI)
Broken Hill Airport,Broken Hill,Australia,BHQ,-32.0013999939,141.472000122,OC,Oceania,Broken Hill (BHQ)
Hamilton Island Airport,Hamilton Island,Australia,HTI,-20.3581008911,148.95199585,OC,Oceania,Hamilton Island (HTI)
Bedourie Airport,Bedourie,Australia,BEU,-24.346099853515625,139.4600067138672,OC,Oceania,Bedourie (BEU)
Burketown Airport,Burketown,Australia,BUC,-17.748600006103516,139.53399658203125,OC,Oceania,Burketown (BUC)
Boulia Airport,Boulia,Australia,BQL,-22.913299560546875,139.89999389648438,OC,Oceania,Boulia (BQL)
Bathurst Airport,Bathurst,Australia,BHS,-33.4094009399,149.651992798,OC,Oceania,Bathurst (BHS)
Coober Pedy Airport,Coober Pedy,Australia,CPD,-29.040000915527344,134.7209930419922,OC,Oceania,Coober Pedy (CPD)
Cloncurry Airport,Cloncurry,Australia,CNJ,-20.6686000824,140.503997803,OC,Oceania,Cloncurry (CNJ)
Ceduna Airport,Ceduna,Australia,CED,-32.13059997558594,133.7100067138672,OC,Oceania,Ceduna (CED)
Cunnamulla Airport,Cunnamulla,Australia,CMA,-28.030000686645508,145.6219940185547,OC,Oceania,Cunnamulla (CMA)
Coen Airport,Coen,Australia,CUQ,-13.761133,143.113311,OC,Oceania,Coen (CUQ)
Doomadgee Airport,Doomadgee,Australia,DMD,-17.9403,138.822006,OC,Oceania,Doomadgee (DMD)
Devonport Airport,Devonport,Australia,DPO,-41.1697006226,146.429992676,OC,Oceania,Devonport (DPO)
